GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
agence-voyages,fr.eftl.agence.voyages.prix,CalculPrixBillet,30,22,3,1,9,5,7,2,4,2
agence-voyages,fr.eftl.agence.voyages.prix,CalculPrixBillet2,3,0,0,0,1,0,1,0,1,0
agence-voyages,fr.eftl.agence.voyages.prix,CalculPrixUnitaire,0,11,0,0,0,5,0,2,0,2
agence-voyages,fr.eftl.agence.voyages.prix,CalculPrixUnitaire2,13,0,0,0,7,0,4,0,4,0
